image,top_left_x,top_left_y,bottom_right_x,bottom_right_y
user_9/A0.jpg,175,44,265,134
user_9/A1.jpg,180,49,260,129
user_9/A2.jpg,180,49,260,129
user_9/A3.jpg,177,49,257,129
user_9/A4.jpg,178,44,258,124
user_9/A5.jpg,45,37,145,137
user_9/A6.jpg,40,32,150,142
user_9/A7.jpg,37,39,147,149
user_9/A8.jpg,40,47,140,147
user_9/A9.jpg,40,47,140,147
user_9/B0.jpg,149,25,289,165
user_9/B1.jpg,162,28,292,158
user_9/B2.jpg,180,28,310,158
user_9/B3.jpg,181,31,311,161
user_9/B4.jpg,178,40,318,180
user_9/B5.jpg,12,8,192,188
user_9/B6.jpg,25,10,195,180
user_9/B7.jpg,31,8,201,178
user_9/B8.jpg,47,19,197,169
user_9/B9.jpg,55,26,195,166
user_9/C0.jpg,172,48,302,178
user_9/C1.jpg,172,41,302,171
user_9/C2.jpg,190,52,310,172
user_9/C3.jpg,191,72,311,192
user_9/C4.jpg,176,88,296,208
user_9/C5.jpg,74,11,204,141
user_9/C6.jpg,75,20,205,150
user_9/C7.jpg,69,32,209,172
user_9/C8.jpg,66,34,206,174
user_9/C9.jpg,65,23,205,163
user_9/D0.jpg,185,9,315,139
user_9/D1.jpg,194,11,314,131
user_9/D2.jpg,196,16,316,136
user_9/D3.jpg,203,21,313,131
user_9/D4.jpg,203,23,313,133
user_9/D5.jpg,69,2,219,152
user_9/D6.jpg,69,2,219,152
user_9/D7.jpg,82,1,232,151
user_9/D8.jpg,88,8,228,148
user_9/D9.jpg,91,13,231,153
user_9/F0.jpg,115,18,265,168
user_9/F1.jpg,105,20,255,170
user_9/F2.jpg,136,20,266,150
user_9/F3.jpg,125,20,255,150
user_9/F4.jpg,142,23,272,153
user_9/F5.jpg,62,14,192,144
user_9/F6.jpg,60,18,190,148
user_9/F7.jpg,71,23,201,153
user_9/F8.jpg,76,38,196,158
user_9/F9.jpg,76,38,196,158
user_9/H0.jpg,206,40,316,150
user_9/H1.jpg,206,41,316,151
user_9/H2.jpg,207,36,317,146
user_9/H3.jpg,209,23,319,133
user_9/H4.jpg,209,21,319,131
user_9/H5.jpg,114,5,234,125
user_9/H6.jpg,104,9,224,129
user_9/H7.jpg,116,19,236,139
user_9/H8.jpg,106,32,226,152
user_9/H9.jpg,113,35,233,155
user_9/I0.jpg,205,50,305,150
user_9/I1.jpg,198,48,298,148
user_9/I2.jpg,213,46,313,146
user_9/I3.jpg,200,41,300,141
user_9/I4.jpg,195,53,295,153
user_9/I5.jpg,73,8,193,128
user_9/I6.jpg,65,4,185,124
user_9/I7.jpg,81,18,181,118
user_9/I8.jpg,76,16,176,116
user_9/I9.jpg,86,22,186,122
user_9/K0.jpg,102,9,232,139
user_9/K1.jpg,83,9,213,139
user_9/K2.jpg,103,10,233,140
user_9/K3.jpg,79,10,209,140
user_9/K4.jpg,98,25,218,145
user_9/K5.jpg,39,22,159,142
user_9/K6.jpg,29,22,149,142
user_9/K7.jpg,40,25,160,145
user_9/K8.jpg,29,22,149,142
user_9/K9.jpg,20,25,140,145
user_9/L0.jpg,184,49,294,159
user_9/L1.jpg,174,44,284,154
user_9/L2.jpg,184,47,294,157
user_9/L3.jpg,160,47,270,157
user_9/L4.jpg,158,47,268,157
user_9/L5.jpg,101,4,231,134
user_9/L6.jpg,111,16,241,146
user_9/L7.jpg,112,17,232,137
user_9/L8.jpg,115,17,235,137
user_9/L9.jpg,104,13,224,133
user_9/O0.jpg,145,39,235,129
user_9/O1.jpg,139,36,229,126
user_9/O2.jpg,129,36,219,126
user_9/O3.jpg,137,42,227,132
user_9/O4.jpg,127,39,217,129
user_9/O5.jpg,127,45,227,145
user_9/O6.jpg,114,41,214,141
user_9/O7.jpg,126,43,226,143
user_9/O8.jpg,117,39,217,139
user_9/O9.jpg,115,41,215,141
user_9/V0.jpg,170,44,300,174
user_9/V1.jpg,166,48,286,168
user_9/V2.jpg,158,47,278,167
user_9/V3.jpg,142,51,262,171
user_9/V4.jpg,155,54,275,174
user_9/V5.jpg,68,21,208,161
user_9/V6.jpg,53,20,193,160
user_9/V7.jpg,87,25,227,165
user_9/V8.jpg,64,22,204,162
user_9/V9.jpg,52,23,192,163
user_9/W0.jpg,113,29,253,169
user_9/W1.jpg,99,21,239,161
user_9/W2.jpg,121,17,261,157
user_9/W3.jpg,106,15,246,155
user_9/W4.jpg,136,23,276,163
user_9/W5.jpg,40,0,170,130
user_9/W6.jpg,30,1,160,131
user_9/W7.jpg,49,8,179,138
user_9/W8.jpg,30,13,160,143
user_9/W9.jpg,30,12,150,132
user_9/Y0.jpg,181,46,291,156
user_9/Y1.jpg,164,41,274,151
user_9/Y2.jpg,180,50,290,160
user_9/Y3.jpg,158,52,268,162
user_9/Y4.jpg,174,57,284,167
user_9/Y5.jpg,78,23,188,133
user_9/Y6.jpg,68,18,178,128
user_9/Y7.jpg,86,28,196,138
user_9/Y8.jpg,70,37,180,147
user_9/Y9.jpg,75,41,175,141
